"IMAGE","NEWACCT_NO","LINE_STAT","BILL_CYCL","DISTRICT","TENURE","CHURN_REASON","CHURN_GROUP","CURRENT_MTH_CHURN","COSTCENTRE","EFFC_STRT_DATE","EFFC_EXP_DATE"
31-OCT-19,"93878940.001.000065132","AC","01","TSEUNG KWAN O",78,"","","N","SCFY",01-MAR-19,28-FEB-21
31-OCT-19,"93879336.001.000064974","AC","01","YAU TONG",78,"","","N","SCFY",30-APR-19,29-APR-20
31-OCT-19,"93879351.001.000064975","AC","01","MA ON SHAN",78,"","","N","SCFD",,
31-OCT-19,"93879369.001.000064979","AC","01","YAU TONG",78,"","","N","SCFY",04-FEB-19,03-FEB-21
30-JUN-19,"93879377.001.000064980","AC","01","HUNG HOM",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93879419.001.000071802","AC","01","SHA TIN",78,"","","N","SCFY",13-DEC-18,12-DEC-20
31-MAR-19,"93879500.001.000064983","AC","01","YAU TONG",78,"Network Problem","Network Problem","Y","SCFY",,
31-OCT-19,"93879641.001.000064987","AC","01","TUEN MUN",78,"","","N","SCFY",27-FEB-19,26-AUG-21
31-OCT-19,"93880219.001.000064994","AC","01","MONG KOK",78,"","","N","SCFY",17-MAY-19,16-MAY-21
31-MAY-19,"93880565.001.000064997","AC","01","TSIM SHA TSUI",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93880631.001.000064999","AC","01","KWAI CHUNG",78,"","","N","SCFY",01-APR-19,31-MAR-21
31-OCT-19,"93881043.001.000065002","AC","01","WAN CHAI",78,"","","N","SCFY",01-NOV-18,31-OCT-20
31-OCT-19,"93881076.001.000065076","AC","01","KOWLOON BAY",78,"","","N","SCFY",01-JUN-19,31-MAY-21
31-OCT-19,"93881118.001.000065011","AC","01","WAN CHAI",78,"","","N","SCFY",01-MAY-19,30-APR-21
31-OCT-19,"93881126.001.000065012","AC","01","TSIM SHA TSUI",78,"","","N","SCFY",24-MAY-19,23-MAY-21
31-OCT-19,"93881837.001.000065021","AC","01","KOWLOON BAY",78,"","","N","SCFY",25-APR-19,24-APR-21
31-OCT-19,"93882934.001.000065022","AC","01","TUEN MUN",78,"","","N","SCFY",16-MAY-19,15-MAY-21
31-OCT-19,"93882942.001.000065023","AC","01","CHEUNG SHA WAN",78,"","","N","SCFY",18-MAY-19,17-MAY-21
31-OCT-19,"93882967.001.000065025","AC","01","SHEUNG WAN",78,"","","N","SCFY",01-MAR-19,28-FEB-21
31-OCT-19,"93883189.001.000065029","AC","01","SAN PO KONG",78,"","","N","SCFY",28-MAY-19,27-MAY-21
31-OCT-19,"93883312.001.000065032","AC","01","SAN PO KONG",78,"","","N","SCFY",20-DEC-18,19-DEC-20
31-OCT-19,"93883775.001.000065035","AC","01","TSIM SHA TSUI EAST",78,"","","N","SCFY",19-MAY-19,18-MAY-21
31-OCT-19,"93883783.001.000065036","AC","01","TUEN MUN",78,"","","N","SCFY",11-JUN-19,10-JUN-21
31-OCT-19,"93883791.001.000065037","AC","01","KOWLOON BAY",78,"","","N","SCFY",15-JAN-18,14-JAN-20
31-JUL-19,"93883817.001.000065039","IS","01","CENTRAL DISTRICT",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFD",,
31-OCT-19,"93883825.001.000065040","AC","01","SHEUNG WAN",78,"","","N","SCFY",09-MAY-19,08-MAY-21
31-OCT-19,"93883841.001.000062065","AC","01","MONG KOK",78,"","","N","SCFY",20-AUG-19,19-AUG-21
31-JUL-19,"93883841.002.000080078","AC","01","MONG KOK",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93884104.001.000065045","AC","01","KWAI CHUNG",78,"","","N","SCFY",13-MAR-19,12-MAR-21
31-OCT-19,"93884567.002.000067596","AC","01","TSUEN WAN",78,"","","N","SCFY",01-OCT-19,30-SEP-21
31-OCT-19,"93884617.001.000092737","AC","01","MONG KOK",78,"","","N","SCFY",15-JAN-19,14-JAN-21
31-OCT-19,"93885325.001.000065059","AC","01","TAI KOK TSUI",78,"","","N","SCFY",01-MAR-19,28-FEB-21
31-OCT-19,"93885358.001.000065066","AC","01","NORTH POINT",78,"","","N","SCFY",01-FEB-19,31-JAN-21
31-OCT-19,"93885366.001.000065064","AC","01","SHA TIN",78,"","","N","SCFY",29-MAY-19,28-MAY-21
31-OCT-19,"93885382.004.000069482","AC","01","HUNG HOM",78,"","","N","SCFY",18-APR-18,17-APR-20
31-MAY-19,"93885390.001.000065063","AC","01","WAN CHAI",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
30-JUN-19,"93885424.001.000065418","AC","01","POK FU LAM",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93885424.001.000081381","AC","01","POK FU LAM",78,"","","N","SCFY",29-NOV-18,28-NOV-20
31-OCT-19,"93885457.002.000081494","AC","01","SHAU KEI WAN",78,"","","N","SCFY",01-NOV-18,31-OCT-20
31-OCT-19,"93885499.002.000083943","AC","01","CENTRAL DISTRICT",78,"","","N","SCFD",01-AUG-19,31-JUL-20
31-OCT-19,"93885499.003.000084309","AC","01","CENTRAL DISTRICT",78,"","","N","SCFD",04-MAR-19,03-MAR-20
31-OCT-19,"93886208.001.000065074","AC","01","YAU TONG",78,"","","N","SCFY",07-JUN-19,06-JUN-21
31-OCT-19,"93886216.001.000065075","AC","01","CENTRAL DISTRICT",78,"","","N","SCFY",13-APR-19,12-APR-21
31-OCT-19,"93886224.001.000070498","AC","01","CENTRAL DISTRICT",78,"","","N","SCFY",03-OCT-18,02-OCT-20
31-OCT-19,"93886232.001.000065077","AC","01","WAN CHAI",78,"","","N","SCFY",06-APR-19,05-APR-21
31-OCT-19,"93886257.001.000065078","AC","01","HUNG HOM",78,"","","N","SCFY",10-MAY-19,09-MAY-21
31-OCT-19,"93886257.001.000083555","AC","01","HUNG HOM",78,"","","N","SCFY",09-MAY-19,08-MAY-21
31-OCT-19,"93886356.001.000065080","AC","01","TAI PO",78,"","","N","SCFY",01-MAY-18,30-APR-20
31-OCT-19,"93886406.001.000065082","AC","01","TSUEN WAN",78,"","","N","SCFY",02-MAY-19,01-MAY-21
31-OCT-19,"93886471.001.000065083","AC","01","KWAI CHUNG",78,"","","N","SCFD",,
31-OCT-19,"93886521.001.000065084","AC","01","KWUN TONG",78,"","","N","SCFY",01-APR-19,31-MAR-21
31-AUG-19,"93886919.001.000065089","AC","01","WAN CHAI",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93886919.001.000095322","AC","01","WAN CHAI",78,"","","N","SCFY",13-AUG-19,12-AUG-21
30-APR-19,"93887875.001.000065093","AC","01","CHAI WAN",78,"Network Problem","Network Problem","Y","SCFY",,
31-OCT-19,"93887883.001.000065098","AC","01","KWUN TONG",78,"","","N","SCFY",01-SEP-18,31-JUL-21
31-OCT-19,"93887883.001.000065098","IS","01","KWUN TONG",78,"","","N","SCFY",,
30-APR-19,"93887891.001.000065097","AC","01","YAU MA TEI",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93888279.001.000065106","AC","01","TSIM SHA TSUI",78,"","","N","SCFY",01-JAN-18,31-DEC-19
31-OCT-19,"93888279.001.000086830","AC","01","TSIM SHA TSUI",78,"","","N","SCFY",14-DEC-17,13-DEC-19
31-OCT-19,"93888279.001.000086831","AC","01","TSIM SHA TSUI",78,"","","N","SCFY",14-DEC-17,13-DEC-19
31-OCT-19,"93888774.001.000065111","AC","01","CHEUNG SHA WAN",78,"","","N","SCFY",13-MAY-19,12-MAY-21
31-OCT-19,"93890069.001.000065123","AC","01","TUEN MUN",78,"","","N","SCFY",10-JUN-19,09-JUN-21
31-OCT-19,"93890085.001.000065127","AC","01","KOWLOON BAY",78,"","","N","SCFY",10-MAY-19,09-MAY-21
30-JUN-19,"93890093.001.000065129","AC","01","SAN PO KONG",78,"Closing Business","Closing Business","Y","SCFY",,
30-JUN-19,"93890093.001.000083779","AC","01","SAN PO KONG",78,"Closing Business","Closing Business","Y","SCFY",,
28-FEB-19,"93890903.001.000065139","IS","01","SHA TIN",78,"Network Problem","Network Problem","Y","SCFY",,
31-OCT-19,"93890911.002.000073881","AC","01","TUEN MUN",78,"","","N","SCFY",,
31-OCT-19,"93890929.001.000065141","AC","01","KWUN TONG",78,"","","N","SCFY",01-JUN-19,31-MAY-21
31-MAY-19,"93890937.001.000065142","AC","01","KWAI CHUNG",78,"Relocate to non-coverage(w/prof)","Relocate to non-coverage(w/prof)","Y","SCFY",,
31-AUG-19,"93890945.001.000065143","AC","01","TSIM SHA TSUI EAST",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
30-APR-19,"93890952.001.000065146","AC","01","KWUN TONG",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93891000.001.000091491","AC","01","KWAI CHUNG",78,"","","N","SCFY",09-NOV-18,08-NOV-20
31-OCT-19,"93891000.001.000091492","AC","01","KWAI CHUNG",78,"","","N","SCFY",09-NOV-18,08-NOV-20
31-OCT-19,"93891596.001.000065152","AC","01","TUEN MUN",78,"","","N","SCFY",15-MAY-19,14-MAY-21
31-OCT-19,"93892719.001.000065156","AC","01","CHEUNG SHA WAN",78,"","","N","SCFY",10-MAY-19,09-MAY-21
31-OCT-19,"93892727.001.000065157","AC","01","HUNG HOM",78,"","","N","SCFY",20-MAY-19,19-MAY-21
31-OCT-19,"93892982.001.000065160","AC","01","KWUN TONG",78,"","","N","SCFY",08-MAY-19,07-MAY-21
31-OCT-19,"93893477.001.000065162","AC","01","WAN CHAI",78,"","","N","SCFY",09-APR-19,08-APR-21
30-APR-19,"93893493.001.000065164","AC","01","KWAI CHUNG",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93893501.002.000067269","AC","01","WAN CHAI",78,"","","N","SCFY",,
31-OCT-19,"93893501.002.000084779","AC","01","WAN CHAI",78,"","","N","SCFY",,
31-OCT-19,"93893576.001.000078870","AC","01","TSUEN WAN",78,"","","N","SCFY",24-MAY-18,23-MAY-20
31-OCT-19,"93894202.001.000065176","AC","01","KENNEDY TOWN",78,"","","N","SCFY",16-APR-19,15-APR-21
30-APR-19,"93894251.001.000065179","AC","01","KOWLOON BAY",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93894269.001.000065180","AC","01","CHEK LAP KOK",78,"","","N","SCFD",01-SEP-19,31-AUG-22
31-OCT-19,"93894269.002.000066992","AC","01","CHEK LAP KOK",78,"","","N","SCFD",01-SEP-19,31-AUG-22
31-OCT-19,"93894269.003.000073640","AC","01","CHEK LAP KOK",78,"","","N","SCFD",01-DEC-15,31-JAN-20
31-OCT-19,"93894269.004.000074242","AC","01","CHEK LAP KOK",78,"","","N","SCFD",01-SEP-19,31-AUG-22
31-OCT-19,"93894269.007.000081170","AC","01","CHEK LAP KOK",78,"","","N","SCFD",19-OCT-19,18-OCT-22
31-OCT-19,"93894301.001.000065186","AC","01","KOWLOON BAY",78,"","","N","SCFY",30-JUN-17,29-JUN-20
31-OCT-19,"93894301.001.000084062","AC","01","KOWLOON BAY",78,"","","N","SCFY",30-JUN-17,29-JUN-20
31-OCT-19,"93894319.001.000065185","AC","01","MONG KOK",78,"","","N","SCFY",01-JUL-19,30-JUN-21
31-OCT-19,"93894319.001.000066391","AC","01","MONG KOK",78,"","","N","SCFY",,
31-OCT-19,"93894319.001.000066728","AC","01","KWAI CHUNG",78,"","","N","SCFY",,
31-OCT-19,"93894319.001.000090786","AC","01","MONG KOK",78,"","","N","SCFY",25-AUG-18,24-AUG-20
31-OCT-19,"93895050.002.000081177","AC","01","QUEENSWAY",78,"","","N","SCFY",09-NOV-18,08-NOV-20
31-OCT-19,"93895084.001.000065195","AC","01","TO KWA WAN",78,"","","N","SCFY",01-SEP-18,31-MAY-21
31-OCT-19,"93895100.001.000065197","AC","01","SAN PO KONG",78,"","","N","SCFY",01-JUN-19,31-MAY-21
31-OCT-19,"93895118.001.000065199","AC","01","CENTRAL DISTRICT",78,"","","N","SCFY",13-SEP-19,12-JUL-23
31-OCT-19,"93895118.001.000084032","AC","01","CENTRAL DISTRICT",78,"","","N","SCFY",13-SEP-19,12-JUL-23
31-OCT-19,"93895944.001.000065205","IS","01","KWAI CHUNG",78,"","","N","SCFY",,
30-APR-19,"93895993.001.000065211","AC","01","TUEN MUN",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93896306.001.000065219","AC","01","CENTRAL DISTRICT",78,"","","N","SCFD",01-MAY-18,30-APR-20
31-OCT-19,"93896322.002.000079021","AC","01","TAI PO",78,"","","N","SCFD",10-JUN-18,09-JUN-20
31-OCT-19,"93896322.003.000080106","AC","01","TAI PO",78,"","","N","SCFD",10-JUN-18,09-JUN-20
30-JUN-19,"93896835.001.000065223","AC","01","KWUN TONG",78,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
31-OCT-19,"93897908.001.000065228","AC","01","LAI CHI KOK",77,"","","N","SCFY",25-APR-19,24-APR-21
31-OCT-19,"93898740.001.000065244","AC","01","CENTRAL DISTRICT",77,"","","N","SCFY",01-JUN-19,31-MAY-21
31-OCT-19,"93898963.001.000065251","AC","01","KWUN TONG",77,"","","N","SCFY",24-MAY-19,23-MAY-21
30-NOV-18,"93899490.001.000065255","AC","01","NORTH POINT",77,"Downsizing / Cut cost","Downsizing / Cut cost","Y","SCFY",,
30-NOV-18,"93899490.002.000071864","AC","01","ABERDEEN",77,"Closing Business","Closing Business","Y","SCFY",,
31-OCT-19,"93899730.001.000065258","AC","01","TUEN MUN",77,"","","N","SCFY",12-JUN-19,11-JUN-21
31-OCT-19,"93900256.001.000065260","AC","01","TSUEN WAN",77,"","","N","SCFY",30-JUL-18,29-JUL-20
31-OCT-19,"93900264.001.000065268","AC","01","CHEUNG SHA WAN",77,"","","N","SCFY",31-MAY-19,30-MAY-21
31-OCT-19,"93900306.001.000065264","AC","01","SHEUNG WAN",77,"","","N","SCFY",22-MAY-19,21-MAY-21
31-OCT-19,"93900348.001.000065270","AC","01","WAN CHAI",77,"","","N","SCFY",25-MAY-19,24-MAY-21
